2025-09-18 11:18:04,677 INFO    MainThread:3538440 [wandb_setup.py:_flush():80] Current SDK version is 0.21.1
2025-09-18 11:18:04,678 INFO    MainThread:3538440 [wandb_setup.py:_flush():80] Configure stats pid to 3538440
2025-09-18 11:18:04,678 INFO    MainThread:3538440 [wandb_setup.py:_flush():80] Loading settings from /home/zj2398@mc.cumc.columbia.edu/.config/wandb/settings
2025-09-18 11:18:04,678 INFO    MainThread:3538440 [wandb_setup.py:_flush():80] Loading settings from /home/zj2398@mc.cumc.columbia.edu/femr_chao_meds_v3/src/femr/omop_meds_tutorial/wandb/settings
2025-09-18 11:18:04,678 INFO    MainThread:3538440 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-09-18 11:18:04,678 INFO    MainThread:3538440 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/zj2398@mc.cumc.columbia.edu/femr_chao_meds_v3/src/femr/omop_meds_tutorial/wandb/run-20250918_111804-5m5flm6d/logs/debug.log
2025-09-18 11:18:04,678 INFO    MainThread:3538440 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/zj2398@mc.cumc.columbia.edu/femr_chao_meds_v3/src/femr/omop_meds_tutorial/wandb/run-20250918_111804-5m5flm6d/logs/debug-internal.log
2025-09-18 11:18:04,678 INFO    MainThread:3538440 [wandb_init.py:init():830] calling init triggers
2025-09-18 11:18:04,678 INFO    MainThread:3538440 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-09-18 11:18:04,678 INFO    MainThread:3538440 [wandb_init.py:init():871] starting backend
2025-09-18 11:18:04,887 INFO    MainThread:3538440 [wandb_init.py:init():874] sending inform_init request
2025-09-18 11:18:04,892 INFO    MainThread:3538440 [wandb_init.py:init():882] backend started and connected
2025-09-18 11:18:04,893 INFO    MainThread:3538440 [wandb_init.py:init():953] updated telemetry
2025-09-18 11:18:04,907 INFO    MainThread:3538440 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-09-18 11:18:05,710 INFO    MainThread:3538440 [wandb_init.py:init():1029] starting run threads in backend
2025-09-18 11:18:05,810 INFO    MainThread:3538440 [wandb_run.py:_console_start():2494] atexit reg
2025-09-18 11:18:05,810 INFO    MainThread:3538440 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-09-18 11:18:05,810 INFO    MainThread:3538440 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-09-18 11:18:05,810 INFO    MainThread:3538440 [wandb_run.py:_redirect():2434] Redirects installed.
2025-09-18 11:18:05,821 INFO    MainThread:3538440 [wandb_init.py:init():1075] run started, returning control to user process
